Fundamentos de C++;Aburruzaga García;Lenguajes de Programación, Informática Básica;2002;345
Algunos aspectos de nivel físico en las redes de transmisión de datos;González de la Calle;Fundamento de Computadores, Arquitectura de Computadores, Física, Circuitos, Comunicaciones;2004;250
Sistemas operativos;Tanenbaum;Fundamento de Computadores, Sistemas Operativos;1999;420
Análisis y diseño orientado a objetos cuaderno 1;Cueva Lovelle;Diseño de Programas, Paradigmas de Programación;2000;230
Bases de datos documentales;Abadal Falgueras;Sistemas de Información, Construcción de Sistemas, Tratamiento de Información;2010;300
Programación en C++;Deitel;Lenguajes de Programación, Informática Básica;2005;470
Ingeniería del software II;Pressman;Diseño de Programas, Paradigmas de Programación, Ingeniería del Software;1995;300
Computer organization and architecture;Stallings;Fundamento de Computadores, Arquitectura de Computadores, Física, Circuitos, Comunicaciones;1998;480
Construcción de software orientado a objetos;Meyer;Diseño de Programas, Paradigmas de Programación, Ingeniería del Software;2004;450
Data mining;Abbass;Sistemas de Información, Construcción de Sistemas, Tratamiento de Información, Inteligencia Artificial;2014;430
El lenguaje de programación C++;Stroustrup;Lenguajes de Programación, Informática Básica;2002;350
Programación en C++;Joyanes Aguilar;Lenguajes de Programación, Informática Básica;2001;400
Redes de ordenadores;Tanenbaum;Fundamento de Computadores, Arquitectura de Computadores, Física, Circuitos, Comunicaciones;1990;350
Fundamentos de programación;Joyanes Aguilar;Lenguajes de Programación, Informática Básica;2000;300
Sistemas digitales;Floyd;Fundamento de Computadores, Arquitectura de Computadores, Física, Circuitos, Comunicaciones;1989;280
Ingeniería del software I;Pressman;Paradigmas de Programación, Ingeniería del Software;1992;280
Estructura y diseño de computadores;Patterson;Fundamento de Computadores, Arquitectura de Computadores, Física, Circuitos, Comunicaciones;1980;560
Inteligencia artificial;Rich;Sistemas de Información, Construcción de Sistemas, Tratamiento de Información, Inteligencia Artificial;2010;300
Introducción a la computación;Norton;Fundamento de Computadores, Arquitectura de Computadores, Física, Circuitos, Comunicaciones;1981;560
Programación en Microsoft visual C++ 1.5;Joyanes Aguilar;Lenguajes de Programación, Informática Básica;2004;500
Ingeniería del software III;Pressman;Paradigmas de Programación, Ingeniería del Software;1995;410
Oracle8;Abbey;Lenguajes de Programación, Informática Básica;1999;310
Piensa en Java;Eckel;Lenguajes de Programación, Informática Básica;2001;600
Código limpio;Martin;Lenguajes de Programación, Informática Básica;2012;310
Programación orientada a objetos;Joyanes Aguilar;Diseño de Programas, Paradigmas de Programación;2008;460
Orientación a objetos;Joyanes Aguilar;Diseño de Programas, Paradigmas de Programación, Ingeniería del Software;2007;309
Estructuras de datos y algoritmos;Aho;Paradigmas de Programación, Ingeniería del Software;1987;340
Redes neuronales y sistemas borrosos;Martín del Río;Sistemas de Información, Construcción de Sistemas, Tratamiento de Información, Inteligencia Artificial;2016;370
Fundamentos de sistemas digitales;Floyd;Fundamento de Computadores, Arquitectura de Computadores, Física, Circuitos, Comunicaciones;1992;300
Touch of class;Meyer;Diseño de Programas, Paradigmas de Programación, Ingeniería del Software;2005;590
C++ Primer;S. Prata;Diseño de Programas, Paradigmas de Programación;2014;750
